ds,yhat,yhat_lower,yhat_upper,Type
2024-01-27,4695.650905465245,-827.9583063294583,9719.123108907508,Past
2024-01-28,4023.6472533942697,-1068.0330527610822,9340.91183319093,Past
2024-01-29,4861.403585004779,-710.6871314793885,10184.34722432582,Past
2024-01-30,4582.62731660262,-276.38724988738613,9607.685505227266,Past
2024-01-31,4712.355305845677,-438.83526583767906,9845.632490832384,Past
2024-02-01,4244.542605312164,-1260.4600009036549,9607.782872717002,Past
2024-02-02,4419.254203595367,-333.2143012925316,9703.257193565785,Past
2024-02-03,4512.127137260979,-296.0215271269679,9449.246489062898,Past
2024-02-04,3944.3488022228084,-1729.1363403852868,9244.212295169524,Past
2024-02-05,4891.465505100909,-55.23718986378498,10160.25021487007,Past
2024-02-06,4724.766816965214,-238.93960352869357,10070.21399721974,Past
2024-02-07,4966.766465937542,-756.5289737922836,10010.255862080343,Past
2024-02-08,4608.851542025401,-483.53146440844034,9735.114691449273,Past
2024-02-09,4888.536575094533,-353.6161306667936,9527.368655344935,Past
2024-02-10,5078.988298921651,-154.65173661253073,10443.823280477074,Past
2024-02-11,4599.065333184767,-413.95037558420574,9763.956583768464,Past
2024-02-12,5622.185242611367,221.85329153771625,10961.783436812655,Past
2024-02-13,5517.763011589137,590.364186725085,10967.564035971456,Past
2024-02-14,5806.740244449434,831.5899605451291,10939.219837459896,Past
2024-02-15,5479.275574961383,376.30992826645263,10689.492103746237,Past
2024-02-16,5772.031684896827,379.54717197789915,10944.60935945769,Past
2024-02-17,5957.724043843186,673.2807966726854,11498.465815359403,Past
2024-02-18,5455.174486156999,98.56771884416881,10838.870082270225,Past
2024-02-19,6438.182075708652,1345.20552041915,11525.1406903617,Past
2024-02-20,6276.954906764873,894.5628651971364,11276.834230446299,Past
2024-02-21,6493.6222881280455,1142.0539071344335,11816.214217054032,Past
2024-02-22,6079.898157098251,613.5633644414892,11264.580808972023,Past
2024-02-23,6274.331790726174,1211.9360027791486,11929.483800576392,Past
2024-02-24,6351.811583628824,1206.9590327965213,11741.954704148038,Past
2024-02-25,5733.566535449528,395.06964912071766,10994.886176835911,Past
2024-02-26,6595.978765840191,1448.2477410721465,12092.59426206856,Past
2024-02-27,6311.952382419472,970.0745807449464,11437.109576309691,Past
2024-02-28,6406.359696996283,1052.2603361186448,11801.735785895995,Past
2024-02-29,5873.637315072473,349.13911166983155,11320.877144923179,Past
2024-03-01,5954.969888426961,624.3058143587656,11265.786469155486,Past
2024-03-02,5927.729021044501,759.5094934889391,11182.71754436253,Past
2024-03-03,5215.413645847372,132.68887204922763,10609.204540312108,Past
2024-03-04,5996.406773524657,682.1841135491592,11353.592173624147,Past
2024-03-05,5645.295389167627,538.0137058078016,11023.304688691009,Past
2024-03-06,5688.275770311582,578.1917022190412,10993.113772078234,Past
2024-03-07,5120.71782324202,-98.84684674069244,10654.94365273027,Past
2024-03-08,5184.327063562581,223.08196364301114,10283.255411832002,Past
2024-03-09,5156.572309064176,194.25963530032135,10496.854926031807,Past
2024-03-10,4460.625705133504,-801.3551876115208,10008.564271453131,Past
2024-03-11,5274.129684050338,56.988190636812085,10936.088419673664,Past
2024-03-12,4970.538963219427,-434.7815717489175,10372.569614867667,Past
2024-03-13,5074.55611990174,339.43703398557113,10322.984432560545,Past
